system:index,classes,ksat,slope,distance,elevation,hand,twi,landcover_classification_2023,.geo
81,0,10.20201558856992,4.535468,10.0,76.04666666664785,2.6121812,25.76177,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36293224509237,-2.986067378059598]}"
82,0,11.738790787171212,2.1515749,258.0697580112788,76.29555555556782,3.8314915,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35875507902121,-2.9837766740850933]}"
83,0,11.806736833912904,0.7743445,120.0,78.20777777777033,2.9342964,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35363468190173,-2.980542739062263]}"
84,0,11.519233489972216,0.36146536,180.27756377319946,77.51555555555181,3.83196,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.370612840771585,-3.0007548329549523]}"
85,0,9.59361639312818,5.0837975,56.568542494923804,73.17111111113582,1.4946462,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35161347251246,-2.971245175871626]}"
86,0,11.291306460803112,1.9308926,274.5906043549196,90.51666666664998,8.253914,11.83776,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.37761969998772,-2.9990031181509194]}"
87,0,11.857651871580671,0.55742854,85.44003745317531,76.52333333333135,1.5096042,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.37007385160112,-2.9999463491992446]}"
88,0,15.098268687049293,2.9769747,320.0,78.67666666666764,8.780176,17.858597,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.3632017396776,-2.991726764349551]}"
89,0,11.354443263635407,0.5302987,156.5247584249853,75.41777777778309,0.7081587,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35552114399838,-2.9773088040394327]}"
90,0,11.424022764966242,2.895276,89.44271909999159,76.44111111108197,3.2444222,27.356215,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35336518731649,-2.9774435513320507]}"
91,0,11.944467421032293,3.135838,122.06555615733703,88.213333333312,1.500608,12.003572,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.377215458109866,-2.99765564522474]}"
92,0,10.837920567152167,1.1746157,224.7220505424423,75.66444444445742,1.1430328,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35552114399838,-2.9782520350877584]}"
93,0,9.712478896050873,3.2990353,22.360679774997898,76.58555555557265,1.8874632,27.356215,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.35053549417152,-2.9894360603750463]}"
